#AÑO,ECONÓMICA,DENOMINACIÓN,PREVISIONES INICIALES,MODIFICACIONES,PREVISIONES DEFINITIVAS,DERECHOS RECONOCIDOS NETOS
2014,112,IBI naturaleza rústica,227000.0,,227000.0,272148.71
2014,113,Impuesto sobre Bienes Inmuebles naturaleza urbana,11641326.41,,11641326.41,11711515.28
2014,114,IBI bienes inmuebles características especiales,895.92,,895.92,
2014,115,Impuesto sobre Vehículos de Tracción Mecánica,1975807.92,,1975807.92,1813437.3
2014,116,Impuesto sobre Incremento del Valor de los Terreno,1111453.52,,1111453.52,1173577.15
2014,130,Impuesto sobre Actividades Económicas,438194.45,,438194.45,402496.46
2014,290,Impuesto sobre Construcciones Instalaciones y Obra,150000.0,,150000.0,123234.08
2014,302,Tasa servicio recogida de RSU,,,,6110.62
2014,309,Tasa Cementerio,138717.35,,138717.35,116256.11
2014,311,Tasa Ayuda a Domicilio,7811.35,,7811.35,6459.18
2014,312,Tasa Servicios Universidad popular y Escuela Veran,33061.33,,33061.33,38249.05
2014,321,Tasa por licencias urbanísticas,29880.0,,29880.0,30210.0
2014,322,Tasa Cédula de Habitabilidad,1992.0,,1992.0,1898.72
2014,325,Tasa por la expedición de documentos,9538.67,,9538.67,7615.05
2014,326,Tasa retirada y custodia de vehículos,5150.67,,5150.67,4805.51
2014,32901,Tasa licencia animales peligrosos,257.33,,257.33,297.76
2014,32902,Tasa Derechos de Examen,8738.13,,8738.13,4968.38
2014,32903,Tasa Celebración de Bodas,1146.67,,1146.67,2598.89
2014,32904,Tasa Licencia Apertura de Establecimientos,20601.33,,20601.33,21671.22
2014,32905,Tasa Mecado Municipal,59604.0,,59604.0,58734.31
2014,330,Tasa estacionamiento de vehículos,354041.52,,354041.52,258964.25
2014,331,Tasa Vados,346883.76,,346883.76,333115.05
2014,332,"Tasa Ocupación Suelo, Subsuelo y Vuelo",236673.3,,236673.3,372081.14
2014,335,Tasa Ocupación Mesas y Sillas,28247.0,,28247.0,25848.21
2014,336,Tasa ocupación vía pca con suspensión tráfico,22333.37,,22333.37,13024.57
2014,338,Compensación de Telefónica de España SA,43718.67,,43718.67,31768.52
2014,339,Otras tasa por utilizacion privativa dominio pub,24992.4,,24992.4,24992.4
2014,341,Precio Público Hogar Ancianos,434069.33,,434069.33,493538.93
2014,342,Precio Públicos Cursos Juventud,1000.0,,1000.0,
2014,344,Precio Público Entradas de Espectáculos,1000.0,,1000.0,800.0
2014,380,Reintegro de avales,535375.12,,535375.12,419492.98
2014,389,Otros reintegros de operaciones corrientes,1000.0,,1000.0,6051.21
2014,39100,Multas infracciones Urbanísiticas,1000.0,,1000.0,
2014,39120,Multas y Sanciones Ordenanza Circulación,252001.33,,252001.33,178782.61
2014,39190,Otras Multas y Sanciones,102133.33,,102133.33,16590.75
2014,39210,Recargo ejecutivo,,,,9717.79
2014,39211,Recargo de apremio,186393.33,,186393.33,207980.05
2014,393,Intereses de demora y costas,81236.85,,81236.85,86951.22
2014,39700,Canon por aprovechamientos urbanísticos,,,,450.76
2014,39901,Recursos eventuales,,,,17810.79
2014,42000,Participación en los Tributos del Estado,6248694.64,,6248694.64,6104089.7
2014,42090,Otras transferencias Administración del Estado,,,,11891.16
2014,42100,Transf.del Servicio Público de Empleo Estatal,,224299.78,224299.78,216030.36
2014,45002,Transferencias convenio S.Sociales CA,772050.4,200807.6,972858.0,2059084.81
2014,45080,Otras transfencias corrientes de C. Autonoma,548354.28,73628.91,621983.19,349304.89
2014,451,"Trasnf. Corrientes OOAA y Agencias, (SERVEF)",,506275.39,506275.39,1017771.17
2014,461,Transferencias corrientes Diputación,,43439.23,43439.23,90461.1
2014,480,Transferencias de Instituciones sin ánimo de lucro,,,,42027.18
2014,497,Otras Transferencias de la Unión Europea,,214576.0,214576.0,284646.0
2014,520,Intereses en Cuentas,20112.0,,20112.0,12436.57
2014,541,Arrendamientos en Fincas Urbanas,4804.0,,4804.0,5760.95
2014,542,Arrendamiento de fincas rústicas,1.0,,1.0,
2014,55001,Canon Concesión servicio aguas,57340.0,,57340.0,57324.95
2014,55002,Canon Concesión Servicio Planta Biogas,41296.96,,41296.96,
2014,553,Derechos de superficie con contraprestación no per,,,,213.54
2014,555,Aprovechamientos especiales,7553.0,,7553.0,
2014,619,Ingresos venta obra y subsuelo,112058.87,,112058.87,193300.48
2014,680,Reintegro de ejercicios cerrados,,,,
2014,75080,Otras transferencias de Capital de la C. Autonoma,51415.68,43008.0,94423.68,858.44
2014,761,Subvenciones capital Diputación Provincial,225000.0,,225000.0,64519.77
2014,830,Anticipos de Funcionarios y Personal Laboral,60000.0,,60000.0,21285.29
