#AÑO,ECONÓMICA,DENOMINACIÓN,PREVISIONES INICIALES,MODIFICACIONES,PREVISIONES DEFINITIVAS,DERECHOS RECONOCIDOS NETOS A 30.9.2015
2015,112,IBI naturaleza rústica,251363.33,,251363.33,254001.92
2015,113,Impuesto sobre Bienes Inmuebles naturaleza urbana,11612561.81,,11612561.81,11591402.8
2015,114,IBI bienes inmuebles características especiales,895.92,,895.92,
2015,115,Impuesto sobre Vehículos de Tracción Mecánica,1912247.02,,1912247.02,1778634.71
2015,116,Impuesto sobre Incremento del Valor de los Terreno,1111453.52,,1111453.52,677890.31
2015,130,Impuesto sobre Actividades Económicas,450193.55,,450193.55,369399.53
2015,290,Impuesto sobre Construcciones Instalaciones y Obra,120000.0,,120000.0,123727.49
2015,302,Tasa servicio recogida de RSU,,,,1448.55
2015,309,Tasa Cementerio,97981.83,,97981.83,116910.74
2015,311,Tasa Ayuda a Domicilio,5922.05,,5922.05,5127.42
2015,312,Tasa Servicios Universidad popular y Escuela Veran,27561.5,,27561.5,27897.5
2015,321,Tasa por licencias urbanísticas,31005.0,,31005.0,20290.0
2015,322,Tasa Cédula de Habitabilidad,1902.74,,1902.74,1542.2
2015,325,Tasa por la expedición de documentos,7815.08,,7815.08,5270.0
2015,326,Tasa retirada y custodia de vehículos,5377.52,,5377.52,5561.0
2015,32901,Tasa licencia animales peligrosos,211.84,,211.84,52.08
2015,32902,Tasa Derechos de Examen,8517.22,,8517.22,12806.8
2015,32903,Tasa Celebración de Bodas,5265.71,,5265.71,1682.66
2015,32904,Tasa Licencia Apertura de Establecimientos,23096.96,,23096.96,12964.94
2015,32905,Tasa Mecado Municipal,58827.37,,58827.37,44591.4
2015,330,Tasa estacionamiento de vehículos,354041.52,,354041.52,189988.9
2015,331,Tasa Vados,347497.58,,347497.58,328989.92
2015,332,"Tasa Ocupación Suelo, Subsuelo y Vuelo",285364.68,,285364.68,287643.33
2015,335,Tasa Ocupación Mesas y Sillas,28691.81,,28691.81,22719.12
2015,336,Tasa ocupación vía pca con suspensión tráfico,15594.23,,15594.23,10086.0
2015,338,Compensación de Telefónica de España SA,36220.27,,36220.27,17701.12
2015,339,Otras tasa por utilizacion privativa dominio pub,24362.63,,24362.63,20827.0
2015,341,Precio Público Hogar Ancianos,426310.57,,426310.57,39511.22
2015,342,Precio Públicos Cursos Juventud,1000.0,,1000.0,
2015,344,Precio Público Entradas de Espectáculos,1000.0,,1000.0,400.0
2015,389,Otros reintegros de operaciones corrientes,1000.0,,1000.0,10222.99
2015,39100,Multas infracciones Urbanísiticas,1000.0,,1000.0,
2015,39120,Multas y Sanciones Ordenanza Circulación,167693.26,,167693.26,108453.35
2015,39190,Otras Multas y Sanciones,163150.58,,163150.58,8741.99
2015,39210,Recargo ejecutivo,3459.21,,3459.21,5396.44
2015,39211,Recargo de apremio,210154.49,,210154.49,145258.03
2015,393,Intereses de demora y costas,96981.36,,96981.36,79197.47
2015,396,Ingresos por actuaciones de urbanización,,,,1002.6
2015,39700,Canon por aprovechamientos urbanísticos,601.01,,601.01,
2015,39901,Recursos eventuales,999.96,,999.96,17836.23
2015,42000,Participación en los Tributos del Estado,6023398.34,,6023398.34,4696080.93
2015,42090,Otras transferencias Administración del Estado,,,,940.26
2015,42100,Transf.del Servicio Público de Empleo Estatal,,211742.46,211742.46,72745.24
2015,45002,Transferencias convenio S.Sociales CA,829228.04,180139.6,1009367.64,1322502.25
2015,45080,Otras transfencias corrientes de C. Autonoma,593279.71,80571.71,673851.42,961867.91
2015,451,"Trasnf. Corrientes OOAA y Agencias, (SERVEF)",,66935.78,66935.78,62389.82
2015,461,Transferencias corrientes Diputación,50076.89,8000.0,58076.89,762.34
2015,480,Transferencias de Instituciones sin ánimo de lucro,,,,12530.1
2015,497,Otras Transferencias de la Unión Europea,70070.0,,70070.0,
2015,520,Intereses en Cuentas,12506.22,,12506.22,5442.07
2015,541,Arrendamientos en Fincas Urbanas,5796.51,,5796.51,3342.44
2015,542,Arrendamiento de fincas rústicas,1.0,,1.0,
2015,55001,Canon Concesión servicio aguas,55868.2,,55868.2,1412.8
2015,55002,Canon Concesión Servicio Planta Biogas,41296.96,,41296.96,
2015,555,Aprovechamientos especiales,,,,7553.6
2015,619,Ingresos venta obra y subsuelo,115858.87,,115858.87,212476.95
2015,75080,Otras transferencias de Capital de la C. Autonoma,,68226.0,68226.0,729565.66
2015,761,Subvenciones capital Diputación Provincial,255000.0,10247.42,265247.42,376166.97
2015,830,Anticipos de Funcionarios y Personal Laboral,60000.0,,60000.0,13712.18
2015,87010,"Remanente de tesorería, financiación afectada",,90378.48,90378.48,
2015,913,Préstamos a largo plazo fuera del sector público,,8309739.29,8309739.29,8309739.29
