#Operacion,Partida,Descripcion,Tercero,NIF,Imp Oper,Imp Liq,FechaOp,SIGLASOPER
201500000542, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-02,RP
201500000541, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,361.02,361.02,2015-01-02,RP
201500000539, 2014/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,125.0,125.0,2015-01-02,RP
201500000540, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-02,RP
201500000543, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,416.24,416.24,2015-01-05,RP
201500000544, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2015-01-05,RP
201500000545, 2014/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,210.0,210.0,2015-01-05,RP
201500000538, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2015-01-07,RP
201500001949, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,390.96,390.96,2015-01-08,RP
201500000566, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,453.52,453.52,2015-01-08,RP
201500000558, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2015-01-09,RP
201500000562, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,490.8,490.8,2015-01-09,RP
201500001954, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,321.67,321.67,2015-01-09,RP
201500000547, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.15,385.15,2015-01-12,RP
201500000560, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-12,RP
201500000549, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2015-01-12,RP
201500000551, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2015-01-12,RP
201500000546, 2014/N/470/23121/480/,AYUDA SOCIAL 2Q BIS DICIEMBRE,PERSONA FISICA,PERSONA FISICA,200.0,200.0,2015-01-12,RP
201500000553, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-12,RP
201500000552, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,453.52,453.52,2015-01-12,RP
201500000555, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-12,RP
201500000550, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,416.24,416.24,2015-01-12,RP
201500000774, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-13,RP
201500000586, 2014/N/470/23124/480/,RENTA GARANTIZADA  DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-13,RP
201500001545, 2014/N/170/132/22799/,"STOR ENROLLABLE, EMBARGO SS",PERSONA FISICA,PERSONA FISICA,473.17,473.17,2015-01-14,RP
201500001548, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-14,RP
201500000548, 2014/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,180.0,180.0,2015-01-14,RP
201500001546, 2014/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,140.0,140.0,2015-01-14,RP
201500001534, 2014/N/470/23121/480/,AYUDA SOCIAL 2Q BIS DICIEMBRE,PERSONA FISICA,PERSONA FISICA,135.0,135.0,2015-01-14,RP
201500001934, 2014/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,374.39,374.39,2015-01-15,RP
201500001910, 2014/N/301/934/352/,PAGO INT.DEMORA S/DEVOLUC. MULTA,PERSONA FISICA,PERSONA FISICA,6.93,6.93,2015-01-15,RP
201500002010, 2014/N/470/23124/480/,RENTA GARANTIZADA NOVIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2015-01-15,RP
201500002191, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. POETA LLORENTE 0115,GAS NATURAL SERVICIOS SDG SA,A08431090,220.17,220.17,2015-01-19,RPPA
201500002193, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. C 0014,GAS NATURAL SERVICIOS SDG SA,A08431090,679.57,679.57,2015-01-19,RPPA
201500002194, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. SANCHIS TARAZONA 0037,GAS NATURAL SERVICIOS SDG SA,A08431090,363.38,363.38,2015-01-19,RPPA
201500002195, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. SEGARRA 0035 02 CA-LE,GAS NATURAL SERVICIOS SDG SA,A08431090,1023.67,1023.67,2015-01-19,RPPA
201500002196, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. AVD SUROESTE 0039,GAS NATURAL SERVICIOS SDG SA,A08431090,693.04,693.04,2015-01-19,RPPA
201500002197, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE TOLEDO 0030,GAS NATURAL SERVICIOS SDG SA,A08431090,1322.17,1322.17,2015-01-19,RPPA
201500002198, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. UNION 0010 01 PR-OX,GAS NATURAL SERVICIOS SDG SA,A08431090,309.47,309.47,2015-01-19,RPPA
201500002199, 2014/N/220/9200/22100/,"CONSUMO LUZ SEPBRE. XACO, 0043 BJ",GAS NATURAL SERVICIOS SDG SA,A08431090,599.23,599.23,2015-01-19,RPPA
201500002200, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. TRES (BO CARBONAIRE) 0015,GAS NATURAL SERVICIOS SDG SA,A08431090,590.82,590.82,2015-01-19,RPPA
201500002201, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. OCTAVI TEN I ORENGA OS/N AL-UM,GAS NATURAL SERVICIOS SDG SA,A08431090,2022.27,2022.27,2015-01-19,RPPA
201500002202, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. BELCAIRE 0103 01 CO,GAS NATURAL SERVICIOS SDG SA,A08431090,508.87,508.87,2015-01-19,RPPA
201500002203, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. POL INDUSTRIAL BELCAIRE 0501 01,GAS NATURAL SERVICIOS SDG SA,A08431090,821.76,821.76,2015-01-19,RPPA
201500002204, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. POL INDUSTRIAL BELCAIRE 0901 02,GAS NATURAL SERVICIOS SDG SA,A08431090,396.82,396.82,2015-01-19,RPPA
201500002205, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. FRANCISCOFUERTES ANTONINO 0008 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,735.61,735.61,2015-01-19,RPPA
201500002206, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. TORRASA 0010 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,146.63,146.63,2015-01-19,RPPA
201500002207, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. MEZQUITA 0001 ALUMB,GAS NATURAL SERVICIOS SDG SA,A08431090,538.24,538.24,2015-01-19,RPPA
201500002208, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. MEZQUITA 0002 ALUMB,GAS NATURAL SERVICIOS SDG SA,A08431090,850.71,850.71,2015-01-19,RPPA
201500002209, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. GPO UNIONESPECIAL 0039 001 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,642.57,642.57,2015-01-19,RPPA
201500002210, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. SAN ANTONIO S/N BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,590.94,590.94,2015-01-19,RPPA
201500002211, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. POZO 0003001 01,GAS NATURAL SERVICIOS SDG SA,A08431090,1013.59,1013.59,2015-01-19,RPPA
201500002212, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. LA LLOSA 0003,GAS NATURAL SERVICIOS SDG SA,A08431090,2662.57,2662.57,2015-01-19,RPPA
201500002214, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. COL SAN ANTONIO 0110,GAS NATURAL SERVICIOS SDG SA,A08431090,591.41,591.41,2015-01-19,RPPA
201500002215, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE BALMES 0034CO,GAS NATURAL SERVICIOS SDG SA,A08431090,1833.5,1833.5,2015-01-19,RPPA
201500002216, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE BALMES 0034 BJ CO,GAS NATURAL SERVICIOS SDG SA,A08431090,2414.25,2414.25,2015-01-19,RPPA
201500002290, 2014/N/220/9200/22100/,"CONSUMO LUZ AVD. JAUME I, 0021 BJ DE 10-07-14 A 21-07-14 Y 22-07-14 A 08-09-14",GAS NATURAL SERVICIOS SDG SA,A08431090,301.06,301.06,2015-01-19,RPPA
201500002291, 2014/N/220/9200/22100/,CONSUMO LUZ CL TRINIDAD 0052 PR-OX DE 10-07-14 A 21-07-14 Y22-07-14 A 21-09-14,GAS NATURAL SERVICIOS SDG SA,A08431090,1703.01,1703.01,2015-01-19,RPPA
201500002292, 2014/N/220/9200/22100/,CONSUMO LUZ CL CHILCHES 0020 BJ PERIODO DE 24-09-13 A 25-04-14,GAS NATURAL SERVICIOS SDG SA,A08431090,10462.64,10462.64,2015-01-19,RPPA
201500002293, 2014/N/220/9200/22100/,CONSUMO LUZ SEPBRE. PZA ESPAÑA 0006 01,GAS NATURAL SERVICIOS SDG SA,A08431090,864.07,864.07,2015-01-19,RPPA
201500002294, 2014/N/220/9200/22100/,"CONSUMO LUZ OCTUBRE CL CANTERA LA PEDRERA 1, 1",GAS NATURAL SERVICIOS SDG SA,A08431090,1416.87,1416.87,2015-01-19,RPPA
201500002295, 2014/N/220/9200/22100/,"CONSUMO LUZ OCTUBRE TRAV. CAMINO SAN JOSE 2, 11 BJ",GAS NATURAL SERVICIOS SDG SA,A08431090,670.96,670.96,2015-01-19,RPPA
201500002296, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE GRPO A (COLONIA SAN ANTONIO) 8 46 1 AREA,GAS NATURAL SERVICIOS SDG SA,A08431090,690.73,690.73,2015-01-19,RPPA
201500002297, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE CL ILLA DE MALLORCA 10 2 PROX AREA,GAS NATURAL SERVICIOS SDG SA,A08431090,599.36,599.36,2015-01-19,RPPA
201500002298, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE C/ ILLA DE MALLORCA 10 10 PROX AREA,GAS NATURAL SERVICIOS SDG SA,A08431090,483.49,483.49,2015-01-19,RPPA
201500002299, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE C/ ILLA DE MENORCA 10 PROX 25 AREA,GAS NATURAL SERVICIOS SDG SA,A08431090,435.01,435.01,2015-01-19,RPPA
201500002300, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE CL ILLA DE MENORCA 10 PROX 5 AREA,GAS NATURAL SERVICIOS SDG SA,A08431090,522.8,522.8,2015-01-19,RPPA
201500002301, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE INFANTE MARTIN CONDE DE UXO 0004 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,381.51,381.51,2015-01-19,RPPA
201500002302, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE URBANIZACION TENIS 12 1,GAS NATURAL SERVICIOS SDG SA,A08431090,33.77,33.77,2015-01-19,RPPA
201500002303, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE URBANIZACION TENIS 13 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,1027.57,1027.57,2015-01-19,RPPA
201500002304, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE SAN JOSE DISEM 18 1,GAS NATURAL SERVICIOS SDG SA,A08431090,414.44,414.44,2015-01-19,RPPA
201500002305, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE POLIG INDUSTRIAL UXOLANZ ALIMENTA NAVESMUNICI 20 1,GAS NATURAL SERVICIOS SDG SA,A08431090,2473.19,2473.19,2015-01-19,RPPA
201500002306, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE POLIG IX SECTOR B 37,GAS NATURAL SERVICIOS SDG SA,A08431090,916.07,916.07,2015-01-19,RPPA
201500002307, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE PARQUE RECINTO FERIAL LA MONTAÑE 50 PROX,GAS NATURAL SERVICIOS SDG SA,A08431090,90.97,90.97,2015-01-19,RPPA
201500002308, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE URBANIZAC. COLONIA CARMADAY- ANTIGUA ESCUELA E IGL 110 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,140.15,140.15,2015-01-19,RPPA
201500002309, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD AGRICULTOR 0039 BJ B,GAS NATURAL SERVICIOS SDG SA,A08431090,36.93,36.93,2015-01-19,RPPA
201500002310, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE ALTO DE LA VILL A0040 01,GAS NATURAL SERVICIOS SDG SA,A08431090,1560.08,1560.08,2015-01-19,RPPA
201500002311, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE ALTO DE LA VILLA 0061 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,68.01,68.01,2015-01-19,RPPA
201500002312, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE ANDALUCIA0016 BJ SE-MA,GAS NATURAL SERVICIOS SDG SA,A08431090,53.3,53.3,2015-01-19,RPPA
201500002313, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE ANGELES 0030 02,GAS NATURAL SERVICIOS SDG SA,A08431090,595.57,595.57,2015-01-19,RPPA
201500002314, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE NTRA SEÑORA LA ASUNCION 0085 01 PUB,GAS NATURAL SERVICIOS SDG SA,A08431090,75.75,75.75,2015-01-19,RPPA
201500002315, 2014/N/220/9200/22100/,CONUMO LUZ OCTUBRE NTRA. SRA.LA ASUNCION 0018 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,486.29,486.29,2015-01-19,RPPA
201500002316, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE NTRA SRA LA ASUNCION 0018 01 A,GAS NATURAL SERVICIOS SDG SA,A08431090,116.41,116.41,2015-01-19,RPPA
201500002317, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE NTRA SRA LA ASUNCION 0018 02 CA-MP,GAS NATURAL SERVICIOS SDG SA,A08431090,180.83,180.83,2015-01-19,RPPA
201500002318, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE BALMES 0034 BJ CO,GAS NATURAL SERVICIOS SDG SA,A08431090,148.54,148.54,2015-01-19,RPPA
201500002319, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE POL INDUSTRIAL CARMADAY 0014 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,728.69,728.69,2015-01-19,RPPA
201500002320, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE PZA CENTRO 0001 A BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,859.37,859.37,2015-01-19,RPPA
201500002321, 2014/N/220/9200/22100/,CONSUMO LUZ  OCTUBRE PZA CENTRO 0001,GAS NATURAL SERVICIOS SDG SA,A08431090,1008.49,1008.49,2015-01-19,RPPA
201500002323, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE CONVENTO 0001 BJ CA-RI,GAS NATURAL SERVICIOS SDG SA,A08431090,26.91,26.91,2015-01-19,RPPA
201500002324, 2014/N/220/9200/22100/,"CONSUMO LUZ OCTUBRE AVD CORAZON DE JESUS, 0056 BJ",GAS NATURAL SERVICIOS SDG SA,A08431090,102.96,102.96,2015-01-19,RPPA
201500002325, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AV CORAZON DE JESUS 0065 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,1287.09,1287.09,2015-01-19,RPPA
201500002326, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AV CORAZON DE JESUS 0102 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,32.17,32.17,2015-01-19,RPPA
201500002327, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE RDA ENRIQUE MARCO 0012 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,1381.99,1381.99,2015-01-19,RPPA
201500002328, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE ESCULTOR MARCO 0001 BJ C,GAS NATURAL SERVICIOS SDG SA,A08431090,101.05,101.05,2015-01-19,RPPA
201500002329, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE ESLIDA 0002 BJ 00001,GAS NATURAL SERVICIOS SDG SA,A08431090,324.53,324.53,2015-01-19,RPPA
201500002330, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE ESPAÑA 0008 03 00010,GAS NATURAL SERVICIOS SDG SA,A08431090,127.85,127.85,2015-01-19,RPPA
201500002331, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0011 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,277.42,277.42,2015-01-19,RPPA
201500002332, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0013 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,250.89,250.89,2015-01-19,RPPA
201500002333, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0015 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,919.18,919.18,2015-01-19,RPPA
201500002334, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0018,GAS NATURAL SERVICIOS SDG SA,A08431090,1639.15,1639.15,2015-01-19,RPPA
201500002336, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE JAUME I 0023 BJ UR-BA,GAS NATURAL SERVICIOS SDG SA,A08431090,405.48,405.48,2015-01-19,RPPA
201500002337, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0024 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,345.76,345.76,2015-01-19,RPPA
201500002338, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0026 A BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,165.65,165.65,2015-01-19,RPPA
201500002339, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0027 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,14.57,14.57,2015-01-19,RPPA
201500002340, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0027 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,141.39,141.39,2015-01-19,RPPA
201500002341, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0027 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,183.94,183.94,2015-01-19,RPPA
201500002342, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0027 BJ 00001,GAS NATURAL SERVICIOS SDG SA,A08431090,248.28,248.28,2015-01-19,RPPA
201500002343, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0030 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,178.04,178.04,2015-01-19,RPPA
201500002344, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE AVD JAUMEI 0034 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,478.06,478.06,2015-01-19,RPPA
201500002345, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE MATILDE BEL 0018 00001,GAS NATURAL SERVICIOS SDG SA,A08431090,380.76,380.76,2015-01-19,RPPA
201500002346, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE PZA MERCADO 0001 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,2528.34,2528.34,2015-01-19,RPPA
201500002347, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE PZA MERCADO 0001 A BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,84.11,84.11,2015-01-19,RPPA
201500002348, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE POL MOLETA BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,48.8,48.8,2015-01-19,RPPA
201500002349, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE POL MOLETA 0002 BJ 00003,GAS NATURAL SERVICIOS SDG SA,A08431090,50.23,50.23,2015-01-19,RPPA
201500002350, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE MOLETA 0003 004 03 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,28.35,28.35,2015-01-19,RPPA
201500002351, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE POL MOLETA 0004 A BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,33.81,33.81,2015-01-19,RPPA
201500002352, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE SALVADOR CARDELLS 0029 C BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,27.83,27.83,2015-01-19,RPPA
201500002353, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE SALVADOR CARDELLS 0029 C BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,44.31,44.31,2015-01-19,RPPA
201500002354, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE COL. SAN ANTONIO 0001 BJ 00004,GAS NATURAL SERVICIOS SDG SA,A08431090,510.84,510.84,2015-01-19,RPPA
201500002355, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE SAN ANTONIO 0010 BJ GR,GAS NATURAL SERVICIOS SDG SA,A08431090,57.44,57.44,2015-01-19,RPPA
201500002356, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE COL. SAN ANTONIO 0001 01,GAS NATURAL SERVICIOS SDG SA,A08431090,782.29,782.29,2015-01-19,RPPA
201500002357, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE COL SAN ANTONIO 0015 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,1177.56,1177.56,2015-01-19,RPPA
201500002360, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE COL SAN ANTONIO 0016 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,1076.38,1076.38,2015-01-19,RPPA
201500002361, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE SAN JOSE 0002 01,GAS NATURAL SERVICIOS SDG SA,A08431090,164.52,164.52,2015-01-19,RPPA
201500002362, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE PJE SAN JOSE 0007 BJ 00001,GAS NATURAL SERVICIOS SDG SA,A08431090,909.02,909.02,2015-01-19,RPPA
201500002363, 2014/N/220/9200/22100/,CONSUMO LUZ OCTUBRE PZA SANTOANGEL 0001 BJ,GAS NATURAL SERVICIOS SDG SA,A08431090,482.48,482.48,2015-01-19,RPPA
