#Operacion,Partida,Descripcion,Tercero,NIF,Imp Oper,Imp Liq,FechaOp,SIGLASOPER
201400000656, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,274.22,274.22,2014-01-02,RP
201400000654, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2014-01-02,RP
201400000658, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,472.16,472.16,2014-01-02,RP
201400000655, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2014-01-02,RP
201400000649, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,143.48,143.48,2014-01-02,RP
201400000663, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2014-01-02,RP
201400000640, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2014-01-02,RP
201400000657, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2014-01-02,RP
201400000650, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,291.47,291.47,2014-01-03,RP
201400000653, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2014-01-03,RP
201400000652, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2014-01-03,RP
201400000646, 2013/N/450/321/481/,DISTRIBUCIO BEQUES LLIBRES 2013,PERSONA FISICA,PERSONA FISICA,26.08,26.08,2014-01-03,RP
201400000647, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,434.88,434.88,2014-01-03,RP
201400000651, 2013/N/470/23121/480/,AYUDA SOCIAL 1Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,100.0,100.0,2014-01-03,RP
201400000817, 2013/N/470/23121/480/,AYUDA SOCIAL 1Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,45.0,45.0,2014-01-07,RP
201400000641, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,393.64,393.64,2014-01-07,RP
201400000659, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,385.18,385.18,2014-01-08,RP
201400000637, 2013/N/220/164/621/,ADQUISICION AMPLIACION TERRENOS CEMENTERIO MUNICIPAL,"GENUXO,S.L.",B12497749,79613.43,79613.43,2014-01-09,RP
201400000645, 2012/N/220/151/681/,"ADO, adquisición inmueble apertura vial Xacó-Valmes",PERSONA FISICA,PERSONA FISICA,7777.23,7777.23,2014-01-13,RP
201400000648, 2012/N/220/151/681/,"ADO, adquisición inmueble apertura vial Xacó-Valmes",PERSONA FISICA,PERSONA FISICA,7777.24,7777.24,2014-01-13,RP
201400000643, 2012/N/220/151/681/,ADO adquisción inmueble apertura vial Xacó-Valmes,PERSONA FISICA,PERSONA FISICA,15554.46,15554.46,2014-01-13,RP
201400000639, 2013/N/470/23124/480/,RENTA GARANTIZADA DICIEMBRE,PERSONA FISICA,PERSONA FISICA,416.24,416.24,2014-01-13,RP
201400000642, 2012/N/220/151/681/,ADO adquisción inmueble apertura vial Xacó-Valmes,PERSONA FISICA,PERSONA FISICA,15554.46,15554.46,2014-01-13,RP
201400000739, 2013/N/450/321/22103/,FACT.Nº 1033567336 DE DICIEMB.13* CONSUMO GAS CALEFACCION COLEG. A.MARCH,REPSOL BUTANO,A28076420,1012.44,1012.44,2014-01-17,RPPA
201400000738, 2013/N/480/334/22799/,FACT.Nº 125 DE OCTUB.13ACTIVIDAD EDUCATIVA INFANTIL EN BIBLIOTECA,GESTIONA CULTURA SLU,B12842175,600.0,600.0,2014-01-17,RPPA
201400000740, 2013/N/450/321/48514/,CONVENI DE COL.LABORACIÓ AMB LA AS. PARES D'ALUMNES DE LA GUARDERIA CARBONAIRE,APA GUARDERIA INFANTIL CARBONAIRE,G12042230,15000.0,15000.0,2014-01-17,RPPA
201400000741, 2013/N/480/334/789/,CONVENI ASOCIACIÓ CULTURAL JACINT AGUSTI,ASOCIACION CULTURAL JACINTO AGUSTI,G12095535,55284.77,55284.77,2014-01-17,RPPA
201400000737, 2013/N/480/334/22799/,FACT.Nº15 DE OCTUB.13GRPO.TEATRO SCOLA CANTORUM TEATRE MUNICIPAL,"GRUP.""TALLER DE ESCENOGRAFIA""",G12435368,1000.0,1000.0,2014-01-17,RPPA
201400000709, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,70.0,70.0,2014-01-17,RPPA
201400000697, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,250.0,250.0,2014-01-17,RPPA
201400000728, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,250.0,250.0,2014-01-17,RPPA
201400000710, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,210.0,210.0,2014-01-17,RPPA
201400000683, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,135.0,135.0,2014-01-17,RPPA
201400000723, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,340.0,340.0,2014-01-17,RPPA
201400000707, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,140.0,140.0,2014-01-17,RPPA
201400000734, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,220.0,220.0,2014-01-17,RPPA
201400000702, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,180.0,180.0,2014-01-17,RPPA
201400000692, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,150.0,150.0,2014-01-17,RPPA
201400000684, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,140.0,140.0,2014-01-17,RPPA
201400000704, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,155.0,155.0,2014-01-17,RPPA
201400000685, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,280.0,280.0,2014-01-17,RPPA
201400000711, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,210.0,210.0,2014-01-17,RPPA
201400000705, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,150.0,150.0,2014-01-17,RPPA
201400000681, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,150.0,150.0,2014-01-17,RPPA
201400000732, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,200.0,200.0,2014-01-17,RPPA
201400000721, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,100.0,100.0,2014-01-17,RPPA
201400000691, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,150.0,150.0,2014-01-17,RPPA
201400000690, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,200.0,200.0,2014-01-17,RPPA
201400000698, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,120.0,120.0,2014-01-17,RPPA
201400000701, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,210.0,210.0,2014-01-17,RPPA
201400000722, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,100.0,100.0,2014-01-17,RPPA
201400000716, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,100.0,100.0,2014-01-17,RPPA
201400000700, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,210.0,210.0,2014-01-17,RPPA
201400000688, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,115.0,115.0,2014-01-17,RPPA
201400000735, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,240.0,240.0,2014-01-17,RPPA
201400000689, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,120.0,120.0,2014-01-17,RPPA
201400000733, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,60.0,60.0,2014-01-17,RPPA
201400000720, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,180.0,180.0,2014-01-17,RPPA
201400000726, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,210.0,210.0,2014-01-17,RPPA
201400000695, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,170.0,170.0,2014-01-17,RPPA
201400000713, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,120.0,120.0,2014-01-17,RPPA
201400000725, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,100.0,100.0,2014-01-17,RPPA
201400000719, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,120.0,120.0,2014-01-17,RPPA
201400000686, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,140.0,140.0,2014-01-17,RPPA
201400000731, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,200.0,200.0,2014-01-17,RPPA
201400000714, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,100.0,100.0,2014-01-17,RPPA
201400000712, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,140.0,140.0,2014-01-17,RPPA
201400000718, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,210.0,210.0,2014-01-17,RPPA
201400000699, 2013/N/470/23121/480/,AYUDA SOCIAL 2Q DICIEMBRE,PERSONA FISICA,PERSONA FISICA,135.0,135.0,2014-01-17,RPPA
