#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Reparación y conserv.edificios: Cultura,480,330,212,2600.0,9000.0,11600.0,12003.23
Otros gastos diversos: Cultura,480,330,22699,18200.0,,18200.0,
"Material oficina(Prensa,rev.): Biblioteca y archiv",480,332,220,3900.0,,3900.0,
Gastos diversos Biblioteca Municipal,480,332,22699,,,,37.3
Publicidad y propaganda: Promoción cultural,480,334,22602,16300.0,,16300.0,20465.01
Otros gastos diversos: Promoción cultural,480,334,22699,15400.0,,15400.0,
Otros contratos de servicios: Promoción cultural,480,334,22799,6800.0,10000.0,16800.0,47878.54
Otros suministros diversos: Arqueología y patrimon,480,336,22199,250.0,,250.0,
Otros gastos diversos: Arqueologia y patrimonio,480,336,22699,1500.0,,1500.0,922.05
Otros contratos servicios: Arqueología y patrimoni,480,336,22799,3800.0,,3800.0,
Rep.mantenim.equipos informáticos: Admon.general,180,9200,216,18000.0,-5800.0,12200.0,3363.72
Material de oficina(infomático): Admón.general,180,9200,220,11250.0,,11250.0,13047.65
Comunicaciones informáticas: Nuevas tecnologías,180,9200,22200,108000.0,,108000.0,97618.12
Servicios y mantenimiento softward: Admón.general,180,9200,22799,55800.0,3457.06,59257.06,66813.89
Reuniones y conferencias: Sanidad y consumo,450,313,22606,1000.0,,1000.0,
Control plagas y recog.animales:Sanidad y consumo,450,313,22700,30000.0,9030.82,39030.82,40029.01
Mantenim.rep. y conserv.: Cementerio,450,164,212,5000.0,-400.0,4600.0,1388.85
Otros suministros: Cementerio,450,164,22199,2200.0,595.62,2795.62,5445.76
Material oficina: Deportes,190,340,220,250.0,,250.0,135.7
Otros gastos diversos: Deportes,190,340,22699,18000.0,,18000.0,17376.59
Publicidad y propaganda: Promoc.fomento deporte,190,341,22602,17000.0,,17000.0,18147.48
Gastos diversos: Escuelas deportivas municipales,190,341,22699,7000.0,,7000.0,7000.0
Arrendamiento maquinaria: Instalaciones deportivas,190,342,203,243.0,,243.0,
Mantenim. y const.edificios: Instalaciones deporti,190,342,212,9000.0,7000.0,16000.0,7485.15
Mantenimiento maquinarias: Instalaciones deportiva,190,342,213,1000.0,,1000.0,755.74
Combustibles y carburantes: Instal. deportivas,190,342,22103,5000.0,2000.0,7000.0,11711.24
"Recogida,transporte, eliminac.y trat.residuos",240,162,22700,817924.98,-130218.84,687706.14,652820.89
