#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Otros gastos diversos:Adm Gral Educación,450,320,22699,,,,1939.62
Otros cotratos de servicios:Adm Gral Educación,450,320,22799,,,,5865.29
Publicidad y propaganda:Juventud,480,9241,22602,500.0,,500.0,1661.35
Reuniones y conferencias:Juventud,480,9241,22606,3500.0,3000.0,6500.0,
Otros gastos diversos:Juventud,480,9241,22699,23000.0,,23000.0,29218.24
Otros contratos de servicios:Juventud,480,9241,22799,2000.0,,2000.0,
Reparación y consv edificios:Educación preesc. pri,450,321,212,44000.0,3700.0,47700.0,50960.67
Reparación cons maquin:Educación preescol. primari,450,321,213,13000.0,,13000.0,7613.49
Combustibles y carburantes:Educación preescolar pr,450,321,22103,44000.0,,44000.0,37073.66
Premios y Becas Ed. Preescolar y Primaria,450,321,481,20000.0,-6966.95,13033.05,10348.2
Convenio Asociación arqueológica,450,320,48506,1000.0,,1000.0,1000.0
Ret.básicas: Seg.y orden público,160,132,120,702878.24,-36011.79,666866.45,663557.22
Ret.compl.: Seguridad y orden público,160,132,121,1040853.06,21115.31,1061968.37,1027150.69
Productividad: Seg. y orden público,160,132,150,3000.0,5847.25,8847.25,22759.11
Gratificaciones: Seg. y Orden Público,160,132,151,38000.0,-17863.0,20137.0,44321.03
Retrib. básicas: Urbanismo,160,151,120,215589.97,250.0,215839.97,235357.2
Ret.complement.: Urbanismo,160,151,121,289611.44,2476.0,292087.44,327936.33
Pers.lab. Temporal: Urbanismo,160,151,131,66742.8,-14465.39,52277.41,2720.2
Productividad: Urbanismo,160,151,150,1000.0,5500.0,6500.0,5576.17
Pers.Lab.Temporal: Acceso a la vivienda,160,153,131,,,,
Ret.básicas: Vías públicas,160,155,120,222430.62,28063.28,250493.9,236031.33
Ret.complementarias: Vías Públicas,160,155,121,311121.64,59706.22,370827.86,373388.07
Pers.Lab. temporal: Vías públicas,160,155,131,46145.85,30.0,46175.85,46326.49
Productividad: Vías públicas,160,155,150,2500.0,34543.2,37043.2,36354.57
Gratificaciones: Vías Públicas,160,155,151,15000.0,3683.0,18683.0,12934.53
Gratificaciones: Saneam.alcantarillado agua,160,161,151,7000.0,-6557.52,442.48,
Ret.básicas cementerio,160,164,120,17330.8,211.0,17541.8,21388.9
Ret. complementarias cementerio,160,164,121,28682.0,727.0,29409.0,36481.41
Pers.lab.temporal: cementerio,160,164,131,28487.86,,28487.86,13707.54
Ret.básicas: Medio Ambiente,160,170,120,65405.01,2000.0,67405.01,64341.09
